student_id,department,year_of_study,gpa,midterm_score,attendance_percentage,library_checkout_count,canteen_peak_visit_time,campus_wifi_hours_night,assignment_submit_delay_hours,lab_attendance_8am
STU2026073,Civil Eng,4,8.46,82.1,75.2,4,13:30-14:30,0.7,-11.6,78.4
STU2026074,Mechanical Eng,2,7.33,42.2,78.4,7,11:30-12:30,5.0,-6.0,61.8
STU2026075,Information Tech,3,7.39,71.5,75.2,29,12:30-13:30,2.6,-1.7,81.7
STU2026076,Computer Science,4,8.66,90.0,81.0,20,13:30-14:30,0.7,2.4,76.6
STU2026077,Mechanical Eng,1,8.78,64.2,62.5,15,14:30-15:30,4.1,-14.4,45.5
STU2026078,Civil Eng,1,7.52,71.1,72.6,17,12:30-13:30,2.7,6.8,73.0
STU2026079,Civil Eng,1,7.46,74.2,68.5,2,12:30-13:30,2.8,22.0,98.1
STU2026080,Information Tech,4,7.28,75.7,63.1,8,13:30-14:30,3.0,-33.8,91.9
STU2026081,Electronics & Comm,3,7.38,76.5,85.0,7,12:30-13:30,1.3,7.7,98.2
STU2026082,Computer Science,4,5.9,39.3,97.7,17,13:30-14:30,6.9,1.4,46.2
STU2026083,Mechanical Eng,3,7.29,52.1,75.7,21,11:30-12:30,3.8,-21.1,46.0
STU2026084,Electronics & Comm,1,6.69,68.2,89.0,11,13:30-14:30,3.4,-9.5,97.1
STU2026085,Information Tech,4,9.22,61.1,74.2,12,12:30-13:30,3.9,30.7,41.6
STU2026086,Electronics & Comm,4,6.5,69.3,88.3,14,13:30-14:30,0.8,4.4,91.6
STU2026087,Electronics & Comm,4,9.65,75.2,60.4,5,13:30-14:30,7.3,-20.1,41.6
STU2026088,Civil Eng,1,8.61,59.8,72.6,12,14:30-15:30,5.1,-15.0,35.4
STU2026089,Civil Eng,1,9.16,67.3,91.7,17,13:30-14:30,6.5,-1.8,43.3
STU2026090,Computer Science,1,6.51,60.2,84.4,22,14:30-15:30,2.5,-10.7,76.6
STU2026091,Computer Science,4,6.22,56.8,67.9,15,12:30-13:30,0.7,1.0,79.4
STU2026092,Information Tech,4,7.93,85.8,89.1,9,12:30-13:30,1.7,15.4,72.3
STU2026093,Information Tech,2,6.5,35.0,82.4,24,12:30-13:30,3.7,22.8,53.3
STU2026094,Electronics & Comm,1,7.4,48.9,69.9,11,12:30-13:30,4.6,3.2,52.4
STU2026095,Civil Eng,4,5.96,63.9,71.4,23,11:30-12:30,3.0,-27.0,78.6
STU2026096,Computer Science,1,9.42,62.9,87.0,13,12:30-13:30,6.3,4.0,61.6
STU2026097,Electronics & Comm,3,8.41,55.5,86.0,22,14:30-15:30,5.1,-45.9,59.3
STU2026098,Civil Eng,1,7.99,84.5,86.5,6,11:30-12:30,1.1,-6.3,78.6
STU2026099,Mechanical Eng,3,9.07,59.1,66.0,12,13:30-14:30,6.3,-5.4,46.9
STU2026100,Civil Eng,1,6.11,35.0,96.6,19,14:30-15:30,6.5,-28.6,55.3
STU2026101,Civil Eng,1,6.64,64.0,60.3,22,12:30-13:30,3.1,33.6,91.7
STU2026102,Computer Science,2,7.53,47.4,81.6,35,12:30-13:30,7.1,28.8,41.5
STU2026103,Mechanical Eng,4,6.0,55.5,56.9,19,12:30-13:30,0.8,0.6,98.9
STU2026104,Civil Eng,3,8.38,53.5,87.0,15,11:30-12:30,7.1,-13.3,44.7
STU2026105,Civil Eng,4,9.54,69.0,67.0,13,12:30-13:30,5.3,-0.9,37.6
STU2026106,Mechanical Eng,3,5.76,35.0,66.9,8,11:30-12:30,7.3,-14.0,63.2
STU2026107,Information Tech,1,5.72,36.3,69.3,19,13:30-14:30,7.4,-37.0,57.5
STU2026108,Electronics & Comm,2,6.91,37.8,61.3,6,11:30-12:30,6.8,-19.4,30.1
STU2026109,Electronics & Comm,1,8.34,80.3,56.1,7,12:30-13:30,0.6,5.9,92.9
STU2026110,Electronics & Comm,4,7.76,51.0,87.1,18,11:30-12:30,3.8,-36.3,57.2
STU2026111,Information Tech,1,8.63,57.3,94.1,17,11:30-12:30,5.1,-3.1,40.6
STU2026112,Civil Eng,1,7.61,78.7,94.1,10,11:30-12:30,1.0,-14.9,72.3
STU2026113,Information Tech,3,7.14,71.4,80.7,18,13:30-14:30,2.6,-2.8,84.7
STU2026114,Information Tech,2,7.35,73.0,93.2,25,13:30-14:30,3.4,-25.4,94.0
STU2026115,Mechanical Eng,3,9.6,74.9,84.5,25,12:30-13:30,3.8,25.3,33.2
STU2026116,Electronics & Comm,1,8.02,78.9,79.1,15,12:30-13:30,2.8,30.6,73.5
STU2026117,Computer Science,3,8.08,51.9,70.1,18,12:30-13:30,4.5,9.4,37.4
STU2026118,Information Tech,3,5.99,62.1,67.0,34,13:30-14:30,2.1,-15.5,82.4
STU2026119,Information Tech,1,8.12,58.0,83.3,12,13:30-14:30,5.4,-29.4,31.0
STU2026120,Electronics & Comm,2,7.94,73.3,72.2,8,13:30-14:30,1.5,-28.1,88.4
STU2026121,Civil Eng,3,6.18,64.5,68.4,6,13:30-14:30,2.8,-39.7,97.3
STU2026122,Information Tech,1,8.4,58.2,66.7,18,12:30-13:30,5.1,-0.3,47.0
STU2026123,Civil Eng,1,6.72,48.2,84.2,21,12:30-13:30,3.9,-2.8,53.3
STU2026124,Electronics & Comm,3,9.56,74.0,88.0,15,12:30-13:30,5.8,2.2,40.1
STU2026125,Civil Eng,2,7.65,44.7,90.8,2,11:30-12:30,6.1,-23.6,32.5
STU2026126,Computer Science,3,7.98,59.1,79.7,25,11:30-12:30,5.5,-38.9,44.6
STU2026127,Information Tech,4,9.08,87.6,94.6,18,12:30-13:30,1.1,-1.8,94.5
STU2026128,Mechanical Eng,3,6.45,66.2,88.5,13,11:30-12:30,1.0,-29.4,88.4
STU2026129,Electronics & Comm,2,5.94,64.6,66.0,22,11:30-12:30,1.7,-21.8,74.4
STU2026130,Information Tech,4,8.43,60.2,92.9,12,14:30-15:30,5.0,-40.0,64.5
STU2026131,Computer Science,4,7.4,75.1,68.0,16,12:30-13:30,2.4,-3.5,71.6
STU2026132,Mechanical Eng,3,5.83,35.0,92.2,19,12:30-13:30,6.5,34.1,51.5
STU2026133,Computer Science,4,9.41,94.7,79.6,16,14:30-15:30,1.8,-42.5,87.5
STU2026134,Mechanical Eng,1,7.67,76.8,62.4,7,12:30-13:30,2.2,9.9,82.7
STU2026135,Mechanical Eng,4,7.26,44.3,69.5,5,11:30-12:30,4.7,-18.4,57.6
STU2026136,Civil Eng,3,6.58,45.3,91.6,23,11:30-12:30,7.3,-40.5,51.1
STU2026137,Mechanical Eng,3,9.66,100.0,85.0,14,12:30-13:30,3.2,21.4,87.3
STU2026138,Mechanical Eng,2,8.38,56.7,90.6,15,12:30-13:30,5.7,15.8,54.0
STU2026139,Computer Science,3,6.83,64.8,95.9,19,14:30-15:30,2.9,-43.9,92.2
STU2026140,Computer Science,1,8.35,62.0,92.7,24,11:30-12:30,4.8,-7.1,50.9
STU2026141,Electronics & Comm,4,5.69,35.0,70.7,16,13:30-14:30,5.5,-35.6,63.9
STU2026142,Electronics & Comm,3,9.65,66.5,88.7,16,12:30-13:30,6.8,13.9,36.8
STU2026143,Mechanical Eng,4,7.66,79.1,73.0,3,13:30-14:30,1.6,-14.0,75.8
STU2026144,Mechanical Eng,1,8.56,81.3,77.2,18,12:30-13:30,1.4,1.0,72.4
STU2026145,Civil Eng,1,9.57,75.5,64.5,18,11:30-12:30,3.7,-28.2,42.2
STU2026146,Civil Eng,1,7.11,42.8,56.2,6,13:30-14:30,7.0,-46.0,59.4
STU2026147,Civil Eng,2,8.76,67.9,75.2,6,12:30-13:30,4.8,17.5,61.7
STU2026148,Information Tech,4,5.98,59.9,67.4,16,13:30-14:30,2.6,-44.7,71.4
STU2026149,Civil Eng,1,8.22,63.1,79.7,20,12:30-13:30,5.5,12.1,40.2
STU2026150,Computer Science,3,5.79,35.0,77.6,30,12:30-13:30,4.1,-3.2,64.6
STU2026151,Civil Eng,3,6.59,36.6,55.7,20,12:30-13:30,6.0,25.1,42.1
STU2026152,Mechanical Eng,2,5.69,35.0,78.5,24,12:30-13:30,6.2,14.6,36.1
STU2026153,Electronics & Comm,2,5.77,39.2,88.4,3,11:30-12:30,3.7,-31.3,40.3
STU2026154,Mechanical Eng,4,9.75,93.4,78.4,3,12:30-13:30,2.3,30.5,91.8
STU2026155,Mechanical Eng,3,6.04,35.0,70.8,7,12:30-13:30,6.7,15.3,56.0
STU2026156,Civil Eng,3,9.47,73.8,77.3,7,12:30-13:30,6.1,17.4,55.4
STU2026157,Mechanical Eng,1,5.84,58.6,83.4,13,12:30-13:30,2.6,13.3,87.5
STU2026158,Mechanical Eng,4,6.68,38.9,97.1,25,12:30-13:30,7.1,22.9,32.6
STU2026159,Computer Science,2,9.15,68.4,84.2,26,12:30-13:30,3.6,10.7,34.4
STU2026160,Information Tech,1,8.1,50.5,84.2,18,12:30-13:30,7.1,10.0,43.0
STU2026161,Mechanical Eng,3,6.57,41.6,59.9,10,12:30-13:30,5.6,26.8,47.5
STU2026162,Civil Eng,2,9.78,76.1,67.3,16,13:30-14:30,6.9,-38.8,47.2
STU2026163,Civil Eng,1,8.99,59.8,96.6,11,12:30-13:30,7.4,31.5,53.4
STU2026164,Electronics & Comm,2,8.91,84.4,76.9,2,13:30-14:30,1.3,-28.9,75.8
STU2026165,Information Tech,3,7.51,69.6,97.3,37,12:30-13:30,1.4,24.5,95.6
STU2026166,Information Tech,4,8.81,91.0,90.4,23,12:30-13:30,1.0,16.2,98.2
STU2026167,Electronics & Comm,2,8.8,56.1,60.5,11,12:30-13:30,4.0,1.8,60.4
STU2026168,Mechanical Eng,2,6.99,47.6,95.5,19,12:30-13:30,6.8,6.3,59.6
STU2026169,Mechanical Eng,1,7.66,47.9,62.3,21,13:30-14:30,7.1,-30.1,35.4
STU2026170,Information Tech,1,9.05,92.3,56.2,20,12:30-13:30,0.8,12.1,88.6
STU2026171,Computer Science,4,9.32,69.9,78.5,14,13:30-14:30,5.0,-32.2,40.6
STU2026172,Computer Science,1,6.18,41.6,72.9,12,13:30-14:30,3.8,-9.1,41.9
STU2026173,Mechanical Eng,4,6.06,35.6,70.9,9,12:30-13:30,4.4,0.8,41.2
STU2026174,Computer Science,3,9.57,100.0,92.2,44,13:30-14:30,3.4,-17.4,97.9
STU2026175,Mechanical Eng,2,8.78,63.8,76.4,14,11:30-12:30,4.1,-21.2,47.5
STU2026176,Electronics & Comm,2,8.01,86.1,57.1,11,12:30-13:30,2.5,17.0,87.3
STU2026177,Computer Science,4,6.08,55.3,66.4,19,11:30-12:30,3.1,-37.7,81.7
STU2026178,Information Tech,3,5.82,35.0,76.7,18,12:30-13:30,5.9,0.3,39.8
STU2026179,Computer Science,4,7.1,50.3,97.4,14,12:30-13:30,4.4,15.5,42.8
STU2026180,Computer Science,1,6.09,35.0,69.3,12,12:30-13:30,3.8,33.2,46.0
STU2026181,Mechanical Eng,2,7.19,45.7,81.5,17,12:30-13:30,6.4,24.1,50.8
STU2026182,Mechanical Eng,4,9.01,61.8,70.8,25,13:30-14:30,5.2,-1.8,64.3
STU2026183,Computer Science,4,6.64,44.7,83.2,17,11:30-12:30,7.3,-39.0,50.2
STU2026184,Information Tech,4,6.14,56.8,84.3,12,11:30-12:30,0.7,-25.8,97.5
STU2026185,Civil Eng,2,7.26,42.9,88.3,6,11:30-12:30,6.9,-20.5,60.5
STU2026186,Information Tech,3,9.79,97.8,75.6,32,12:30-13:30,3.1,9.5,97.7
STU2026187,Mechanical Eng,4,6.33,35.0,65.6,11,12:30-13:30,4.4,23.9,37.9
STU2026188,Civil Eng,3,7.56,52.5,79.1,19,12:30-13:30,7.0,10.6,55.3
STU2026189,Civil Eng,3,9.6,99.8,89.6,16,12:30-13:30,2.5,21.9,78.3
STU2026190,Civil Eng,2,6.37,43.5,78.2,20,12:30-13:30,7.0,4.8,54.4
STU2026191,Computer Science,2,8.24,77.3,57.3,15,13:30-14:30,3.4,3.1,90.8
STU2026192,Electronics & Comm,4,8.31,52.6,92.9,11,12:30-13:30,3.8,21.5,52.8
STU2026193,Computer Science,2,7.8,56.5,86.1,20,13:30-14:30,7.1,1.5,62.0
STU2026194,Computer Science,4,8.89,65.1,63.0,11,11:30-12:30,5.7,-17.9,60.5
STU2026195,Computer Science,3,6.72,35.0,97.5,29,13:30-14:30,4.3,-33.5,47.3
STU2026196,Computer Science,3,6.2,66.8,74.7,33,13:30-14:30,2.3,-12.3,75.4
STU2026197,Electronics & Comm,2,8.13,79.6,82.5,5,12:30-13:30,3.3,2.6,82.4
STU2026198,Electronics & Comm,4,6.89,73.8,65.7,11,14:30-15:30,2.3,-17.1,76.8
STU2026199,Information Tech,1,6.62,66.9,70.5,23,11:30-12:30,2.2,-21.4,89.4
STU2026200,Mechanical Eng,1,8.25,90.2,95.4,16,12:30-13:30,3.1,25.7,76.4
STU2026201,Information Tech,3,7.29,44.3,78.6,22,12:30-13:30,3.8,22.9,48.8
STU2026202,Information Tech,1,7.76,72.7,77.7,18,13:30-14:30,3.0,-37.3,96.6
STU2026203,Information Tech,2,6.21,35.0,91.7,43,12:30-13:30,3.6,15.9,53.8
STU2026204,Computer Science,4,6.07,35.0,72.9,2,12:30-13:30,4.4,11.2,49.6
STU2026205,Computer Science,2,7.99,88.2,56.9,17,14:30-15:30,2.9,4.3,71.8
STU2026206,Civil Eng,1,6.73,71.9,62.7,13,14:30-15:30,1.4,4.6,88.6
STU2026207,Civil Eng,4,9.24,95.5,94.0,22,12:30-13:30,3.1,30.3,89.8
STU2026208,Computer Science,2,9.77,100.0,71.9,24,13:30-14:30,1.4,-23.5,98.4
STU2026209,Information Tech,4,7.79,75.5,90.4,25,14:30-15:30,2.2,-7.4,80.0
STU2026210,Computer Science,4,8.14,61.3,95.3,16,12:30-13:30,6.7,19.5,38.4
STU2026211,Computer Science,2,8.68,93.0,72.3,31,11:30-12:30,2.1,4.7,76.3
STU2026212,Electronics & Comm,3,7.98,47.7,88.2,18,14:30-15:30,6.2,-36.3,38.3
STU2026213,Mechanical Eng,3,5.76,35.0,95.8,17,12:30-13:30,6.7,-3.1,61.9
STU2026214,Mechanical Eng,4,8.88,87.7,68.7,17,13:30-14:30,3.4,-35.2,74.3
STU2026215,Electronics & Comm,3,9.19,66.1,61.2,18,12:30-13:30,3.7,0.5,32.0
STU2026216,Electronics & Comm,3,6.37,44.1,82.8,8,13:30-14:30,7.0,-45.3,59.6
STU2026217,Civil Eng,1,9.26,64.6,63.1,12,12:30-13:30,5.8,7.4,55.4
STU2026218,Computer Science,2,9.53,95.6,96.4,34,12:30-13:30,1.3,23.9,99.0
STU2026219,Civil Eng,2,7.87,77.5,88.3,18,12:30-13:30,3.2,31.2,85.5
STU2026220,Civil Eng,1,8.95,67.0,86.1,3,12:30-13:30,5.8,18.1,41.2
STU2026221,Electronics & Comm,2,5.57,35.0,78.8,9,11:30-12:30,4.6,-27.9,55.2
STU2026222,Electronics & Comm,4,7.87,79.5,95.6,25,13:30-14:30,2.9,-22.0,92.1
STU2026223,Electronics & Comm,3,6.23,36.1,86.0,3,12:30-13:30,3.9,16.5,62.1
STU2026224,Computer Science,1,8.79,57.9,72.7,18,11:30-12:30,6.4,-23.8,38.1
STU2026225,Computer Science,4,8.33,63.9,55.7,19,13:30-14:30,4.2,3.8,44.4
STU2026226,Computer Science,4,8.97,85.1,94.1,18,11:30-12:30,1.2,-34.6,72.8
STU2026227,Mechanical Eng,3,8.92,66.1,58.4,11,12:30-13:30,7.2,23.0,46.1
STU2026228,Computer Science,1,5.9,40.9,71.3,17,11:30-12:30,4.4,-3.2,32.0
STU2026229,Mechanical Eng,1,9.35,97.0,94.5,10,12:30-13:30,2.1,-3.1,96.1
STU2026230,Computer Science,3,9.37,91.5,79.2,33,14:30-15:30,0.7,-40.4,96.9
STU2026231,Civil Eng,1,6.79,39.3,79.3,14,12:30-13:30,4.5,26.0,59.7
STU2026232,Electronics & Comm,1,7.65,82.6,96.9,21,12:30-13:30,0.9,34.1,82.7
STU2026233,Civil Eng,3,5.63,35.0,66.8,15,14:30-15:30,7.4,-38.2,47.2
STU2026234,Information Tech,4,5.87,39.5,81.6,24,11:30-12:30,6.1,-6.5,55.0
STU2026235,Electronics & Comm,4,6.86,67.6,59.6,6,12:30-13:30,0.5,-1.4,78.9
STU2026236,Civil Eng,4,7.9,80.7,77.0,12,12:30-13:30,1.2,30.4,72.6
STU2026237,Computer Science,3,7.28,39.3,88.5,31,12:30-13:30,5.6,2.0,49.6
STU2026238,Civil Eng,2,6.1,36.4,67.9,17,12:30-13:30,4.0,27.1,32.2
STU2026239,Mechanical Eng,3,9.56,69.0,86.0,2,11:30-12:30,4.0,2.3,51.6
STU2026240,Mechanical Eng,4,8.96,95.7,69.2,6,14:30-15:30,2.8,-32.1,93.6
STU2026241,Information Tech,2,7.56,80.1,62.6,45,12:30-13:30,3.3,18.6,79.3
STU2026242,Electronics & Comm,3,7.12,73.2,90.1,19,12:30-13:30,3.3,2.4,73.3
STU2026243,Information Tech,1,9.6,71.8,74.8,15,12:30-13:30,5.5,22.6,45.3
STU2026244,Electronics & Comm,3,6.54,46.0,83.3,17,14:30-15:30,5.5,-17.1,57.6
STU2026245,Information Tech,4,7.84,79.9,89.0,4,12:30-13:30,3.0,-0.5,96.0
STU2026246,Electronics & Comm,3,6.22,35.0,81.3,12,14:30-15:30,4.4,3.2,52.6
STU2026247,Civil Eng,1,5.55,35.0,66.1,16,12:30-13:30,4.1,10.3,48.2
STU2026248,Civil Eng,2,6.98,77.8,56.1,25,11:30-12:30,1.2,-40.5,82.1
STU2026249,Mechanical Eng,3,7.46,49.3,63.9,12,12:30-13:30,3.9,-2.2,46.7
STU2026250,Computer Science,1,5.6,63.8,69.8,18,13:30-14:30,1.3,-38.8,93.2
STU2026251,Electronics & Comm,3,7.91,75.3,96.2,15,12:30-13:30,2.1,11.2,81.7
STU2026252,Information Tech,2,7.43,72.0,73.5,40,13:30-14:30,0.5,-44.7,76.2
STU2026253,Computer Science,2,7.07,71.6,63.5,25,14:30-15:30,1.3,-16.4,89.5
STU2026254,Information Tech,4,8.02,49.0,70.0,11,13:30-14:30,6.4,0.7,51.6
STU2026255,Information Tech,1,8.39,82.8,68.5,14,11:30-12:30,2.2,-25.8,73.4
STU2026256,Electronics & Comm,4,7.32,40.6,75.9,7,11:30-12:30,4.3,-22.0,62.2
STU2026257,Electronics & Comm,2,6.85,62.3,74.4,14,11:30-12:30,0.9,3.1,80.4
STU2026258,Information Tech,4,7.26,51.5,76.1,9,12:30-13:30,5.5,7.0,45.5
STU2026259,Mechanical Eng,2,7.81,47.7,62.2,5,12:30-13:30,3.7,18.5,56.0
STU2026260,Mechanical Eng,3,7.83,56.1,87.5,25,12:30-13:30,5.8,29.0,45.4
STU2026261,Electronics & Comm,3,9.26,87.1,56.4,5,13:30-14:30,2.3,-6.9,95.0
STU2026262,Electronics & Comm,2,8.99,92.6,80.3,6,11:30-12:30,3.0,-6.4,90.6
STU2026263,Electronics & Comm,1,7.95,45.8,77.9,20,12:30-13:30,4.7,6.0,35.9
STU2026264,Information Tech,1,6.08,58.7,87.3,24,12:30-13:30,3.4,30.5,71.7
STU2026265,Electronics & Comm,2,8.56,59.0,90.6,10,12:30-13:30,5.8,20.7,53.7
STU2026266,Civil Eng,4,5.82,35.0,89.2,13,12:30-13:30,5.9,13.6,44.1
STU2026267,Civil Eng,3,8.0,46.4,92.4,24,12:30-13:30,6.4,9.7,33.3
STU2026268,Computer Science,4,6.44,70.5,73.5,20,12:30-13:30,2.0,0.4,77.8
STU2026269,Civil Eng,3,9.34,99.1,87.8,7,11:30-12:30,0.8,-24.6,88.2
STU2026270,Computer Science,4,6.37,59.8,84.6,10,14:30-15:30,1.4,-43.1,88.8
STU2026271,Mechanical Eng,3,5.85,35.0,83.6,9,13:30-14:30,5.0,-25.3,31.8
STU2026272,Computer Science,1,5.5,59.1,75.5,24,11:30-12:30,1.4,-29.8,76.6
STU2026273,Computer Science,4,8.48,90.2,75.5,13,11:30-12:30,2.1,-1.3,72.6
STU2026274,Electronics & Comm,4,8.83,83.7,87.4,2,12:30-13:30,1.4,20.0,98.8
STU2026275,Electronics & Comm,4,7.01,42.4,64.2,8,12:30-13:30,5.7,-1.4,62.2
STU2026276,Computer Science,2,8.74,85.4,80.4,23,11:30-12:30,3.2,-13.8,97.9
STU2026277,Electronics & Comm,3,8.85,64.6,84.7,18,12:30-13:30,6.4,2.7,53.0
